公司名字,毁约性质,相关链接,链接图片,审核标签,审核描述信息,毁约时间Date
天鹅到家,毁约三方,https://maimai.cn/web/gossip_detail/30593702?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiMjg1ZTBjYzM3ZTlmNGY5Y2I4ZWY1MGEzNzU4MmJlZWMiLCJpZCI6MzA1OTM3MDIsInUiOjIzMDI3MjIxOX0.qWf9ly0YBLRxoXoSs-rYMLNaDJH-qSMR7f_yOjr9B_0&share_channel=5,65天鹅到家.png (https://dl.airtable.com/.attachments/1979612b72649ea19b0e9d94f2441554/c5403b95/65.png),"毕业前夕毁约！！！,慎去！！！",,6/1/2022
税友,毁三方,https://maimai.cn/web/gossip_detail/30535182?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNGMxMThhNzg5ZmJiNDlhNTljYmY5YTA1YjcwNDA0NDgiLCJpZCI6MzA1MzUxODIsInUiOjIzMDI3MjIxOX0._O8M7717inCiYntJXTtGy6mOr_pELcN1lppW6c3sosk&share_channel=5,48税友.png (https://dl.airtable.com/.attachments/6b3858e747a11d0349d31e7e7371e117/3a9c5563/48.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！",春招还在牛客宣传大批量招人，然后快毕业就毁约,6/1/2022
德邦物流,毁约三方,https://maimai.cn/web/gossip_detail/30645153?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNWJmOTcxNWM2NDM4NDkwMDhkMTY3NzJhMjZmY2U1ZjMiLCJpZCI6MzA2NDUxNTMsInUiOjIzMDI3MjIxOX0.Wq3jk5EAqQAfavhiSkoWtrSyRuVS8uIkAnahY050Nqc&share_channel=5,61德邦物流.png (https://dl.airtable.com/.attachments/b404bd6ba4c0107216884a64c2120b2b/616f0cc7/61.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！",,6/1/2022
蓝信移动,毁三方,https://www.nowcoder.com/feed/main/detail/faf27a4affe94093bd56d1a9b5369b3f,59蓝信移动.png (https://dl.airtable.com/.attachments/7117ec11875aa42e7bfa48d57363552c/185e57a0/59.png),毕业前夕毁约！！！,,6/1/2022
便利蜂,毁三方,https://maimai.cn/web/feed_detail?fid=1739112252&efid=jDDg2A25-V0QKFeSbHdPxQ&share_channel=5&webid=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1IjoyMzM3Mjk3MzEsImZpZCI6MTczOTExMjI1Mn0.LIPDAtuhDzmL7f0UUeDjKFrzNJQDIS3tLI2uzzhYpHg&use_rn=1&_share_channel=copy_link,44便利蜂.png (https://dl.airtable.com/.attachments/c2a6794256ace200711f3494119f34f6/62f6b5f5/44.png),毕业前夕毁约！！！,,6/1/2022
普渡科技,毁约三方,https://maimai.cn/web/gossip_detail/30672509?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiMDRmNmNkODE4NjIxNDUzNmE1MTRlMmQ1NWQyZjU4NTEiLCJpZCI6MzA2NzI1MDksInUiOjIzMDI3MjIxOX0.LKfSD7B-jkm-UKuvSX7mG5jy8PBZUPunTOLuiMKXKVE&share_channel=5,62普渡科技.png (https://dl.airtable.com/.attachments/3674ac550a341b388468eae2b400fa47/f0f6915a/62.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！",,6/1/2022
明峰,毁约三方,https://www.nowcoder.com/discuss/971787,63明峰.png (https://dl.airtable.com/.attachments/d773d39a618c93cc16b917fc68622971/8f04647b/63.png),"大批量毁约！！！,慎去！！！,毕业前夕毁约！！！",,6/1/2022
上海泛微,毁约三方,https://www.nowcoder.com/feed/main/detail/ee0d375760bd455d9165087c956dd322,64上海泛微.png (https://dl.airtable.com/.attachments/e24ad6aa9f0ad774709b49f8a96dff1d/e2328dc7/64.png),"毕业前夕毁约！！！,小部分毁约",我知道这个公司，宣传的很好，其实待遇就那样。在上海啊还给不到一万,6/1/2022
道通科技,毁三方,https://www.nowcoder.com/discuss/971750?type=post&order=create&pos=&page=1&ncTraceId=&channel=-1&source_id=search_post_nctrack&gio_id=90B433057E1B3E7595C1423680827A26-1656922261545,52道通科技.png (https://dl.airtable.com/.attachments/2c306cf6f02e2e1cdbbbdaef7b859dbf/3306621a/52.png),"毕业前夕毁约！！！,慎去！！！,大批量毁约！！！",,6/1/2022
数势科技,毁三方,https://www.nowcoder.com/discuss/977505,60数势.png (https://dl.airtable.com/.attachments/939dbfcec4687e4733f0bb3aaffb0f2a/b73b2474/60.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！",,6/1/2022
苏州科达,毁三方,https://www.nowcoder.com/discuss/969029?source_id=profile_create_nctrack&channel=-1,51苏州科达.png (https://dl.airtable.com/.attachments/c985d5039134a338e5e1ef46815e8371/cf610000/51.png),大批量毁约！！！,6月把我们校企合作招过去的校友都毁约了，慎去,6/1/2022
四方信息,毁三方,https://www.nowcoder.com/discuss/971068,54四方信息.png (https://dl.airtable.com/.attachments/d805188c964967beb94b542325cee132/4bdf4d9f/54.png),"毕业前夕毁约！！！,毁约大部分校招生,慎去！！！",,6/1/2022
力高 地产,毁三方,https://www.nowcoder.com/discuss/971092,56力高地产.png (https://dl.airtable.com/.attachments/db1a4679be1cd637058dff6a01e22154/037df3c6/56.png),毕业前夕毁约！！！,,6/1/2022
上海华宝国际,裁员应届生,,,"""信息不全,真伪自辨""",该信息不全，真实性，请各位自己鉴定,6/1/2022
去哪儿网,"劝退,降薪,无赔偿",https://www.nowcoder.com/discuss/800425 ,,"""信息不全,真伪自辨""",该信息未包含明确毁约信息，真实性请各位行确认,6/1/2022
北森云计算,"无赔偿,画饼不给实习转正",https://maimai.cn/web/gossip_detail?gid=30489539&egid=624cda43431c47cfb84d38a5c17df930,,"大批量毁约！！！,分批毁约,慎去！！！,不止2022年有毁约",,6/6/2022
TOPJOY,"毁约三方,无赔偿",,,"""信息不全,真伪自辨""",该数据提供不全，无法辨识真实性，请各位自行判断,6/13/2022
盛趣游戏,毁约三方,,,"""信息不全,真伪自辨""",,6/30/2022
亚信科技,毁约三方,https://www.nowcoder.com/discuss/978786,authentication.jpg (https://dl.airtable.com/.attachments/5777a87364401dba8f434fcbbad756a7/1c28e8a4/authentication.jpg),小部分毁约,,7/1/2022
奇安信,毁约三方,,IMG_8532.PNG (https://dl.airtable.com/.attachments/2115c61529dc6dd170ddce25fcd83f43/e7367b6e/IMG_8532.PNG),小部分毁约,,7/1/2022
杭州新中大,毁约三方,,,"""信息不全,真伪自辨""",,7/4/2022
思特奇,,https://www.nowcoder.com/discuss/978813?channel=666&source_id=feed_index_nctrack&trackId=undefined,"QQ截图20220810092834.png (https://dl.airtable.com/.attachments/95e1a7f7c2fc2024116f713212bbffa4/a97f8399/QQ20220810092834.png),QQ截图20220810092846.png (https://dl.airtable.com/.attachments/519abd18d002922f906a766486fc1a28/0d037d09/QQ20220810092846.png)","毕业前夕毁约！！！,大批量毁约！！！,毁约大部分校招生,慎去！！！",入职前考核：本次淘汰率23%，后续可能继续淘汰。,7/5/2022
十方教育（深圳）,"裁员应届生,劝退(告知试用期不过),无赔偿,试用期恶意裁员",https://juejin.cn/post/7116196960809254943,十方教育.png (https://dl.airtable.com/.attachments/814f9355cb0110c55067a12aae9b0901/1e8b1eb3.png),入职毁约,,7/15/2022
中国平安财产保险股份有限公司湖北省分公司,"毁约三方,毁三方",平安集团暴雷，5.31后毕业的应届生签约后线的全部被毁三方,"authentication.png (https://dl.airtable.com/.attachments/538f44f42c0a57e7eb20ecc44b889b0c/e631a1a8/authentication.png),authentication.png (https://dl.airtable.com/.attachments/c9b6ecd6b25138b2b28c79d6ea3e8f75/b280ebe3/authentication.png),authentication.png (https://dl.airtable.com/.attachments/b0453dfb0beb202d2c0144e03622d5c5/53249289/authentication.png)","大批量毁约！！！,毕业前夕毁约！！！",,7/29/2022
中孚信息,"劝退,转岗",https://www.nowcoder.com/discuss/1003837?type=post&order=recall&pos=&page=1&ncTraceId=&channel=-1&source_id=search_post_nctrack&gio_id=90B433057E1B3E7595C1423680827A26-1660826774203,中孚信息.png (https://dl.airtable.com/.attachments/e1dedc9e782b5e77d77bb7c4c1050426/24b8939e.png),"大批量毁约！！！,入职毁约转岗,慎去！！！",春招还再宣传大批量招人,8/3/2022
